handle,name,website,industry,size,type,founded,city,state,country_code
company/13-jul-plantaze,13 Jul-Plantaze,plantaze.com,beverage manufacturing,501-1K,Public Company,1963.0,Podgorica,Podgorica,ME
company/13-stories-haunted-house,13 Stories Haunted House,13storieshauntedhouse.com,entertainment providers,11-50,,,Kennesaw,Georgia,US
company/1313-innovation,1313 Innovation,1313innovation.com,"technology, information and internet",1-10,Public Company,2014.0,Nw,Delaware,US
company/133-vintage-ltd,133 Vintage Ltd,133vintage.com,"technology, information and internet",1-10,Privately Held,,Chichester,England,GB
company/1337-facilities,1337 Facilities,1337facilities.com,construction,11-50,Privately Held,2019.0,,,
company/1337-ltd,1337 LTD,,it services and it consulting,,,,Doncaster,England,GB
company/135-consulting-group,135 Consulting Group,135consultinggroup.com,business consulting and services,1-10,Self-Employed,2022.0,Manassas,Virginia,US
company/135-design,135 Design,135.design,design services,1-10,Partnership,2015.0,Westfield,New Jersey,US
company/14-theories-inc.,14 Theories Inc.,14theories.com,"technology, information and internet",1-10,Privately Held,2008.0,Kingston,Ontario,CA
company/1406bv,1406 Engineering | Consultancy | Asset Management,1406.nl,renewable energy semiconductor manufacturing,1-10,Privately Held,2019.0,Egmond Aan Zee,Noord Holland,NL
company/140db,140DB,140db.com,design services,1-10,,,,,
company/144-consultancy,144 Communications,144communications.com,public relations and communications services,11-50,Privately Held,2007.0,Nairobi,Nairobi Province,KE
company/145-building-supply-inc,145 Building Supply Inc,145buildingsupply.com,wholesale building materials,1-10,,,Miami,Florida,US
company/14b,14&B,space-plus.org,events services,1-10,Privately Held,2018.0,London,England,GB
company/14qbd273-llc,14QBD273 LLC,14qbd273.com,entertainment providers,1-10,Privately Held,2021.0,Columbia,South Carolina,US
company/15362---bacteriophage-therapy-summit,15362 - Bacteriophage Therapy Summit,bacteriophage-summit.com,,,,,Boston,Massachusetts,US
company/16-mesures,16 Mesures,16mesures.com,online audio and video media,1-10,Self-Employed,2018.0,Paris,le-de-France,FR
company/16-plus,16 plus,,wellness and fitness services,1-10,Self-Employed,,,,
company/160thspecialoperationsaviationregimentairborne,160th Special Operations Aviation Regiment (Airborne),army.mil,armed forces,10K+,Government Agency,1980.0,,,
company/1611srl,1611 Srl,,retail apparel and fashion,1-10,Privately Held,2022.0,Istrana,Veneto,IT
company/1616-ro,1616.ro,1616.ro,"technology, information and internet",11-50,Public Company,,Bucharest Bucharest,,RO
company/1674-farms-realty-llc,1674 Farms Realty LLC,,real estate,1-10,Public Company,,,,
company/168-film-project,168 Film Project,168film.com,,1-10,,,Burbank,California,US
company/168-logistics-llc,"168 LOGISTICS, LLC",168logistics.com,,1-10,,,City Of Industry,California,US
company/1688import-de,1688import.de,1688import.de,international trade and development,1-10,Privately Held,2020.0,,,
company/16h42,16h42,,advertising services,1-10,Partnership,,Paris,le-de-France,FR
company/16haktpfhunpad,16 Hari Anti Kekerasan Terhadap Perempuan Fakultas Hukum Universitas Padjadjaran,instagram.com,education administration programs,11-50,Nonprofit,,,,
company/16oz-limited,16OZ LIMITED,16oz.co.uk,"movies, videos, and sound",11-50,,,London,England,GB
company/17-sensitec-gmbh,17 Sensitec GmbH,sensitec.de,,,,,Lahnau,Hesse,DE
company/1719-capital-partners-lp,1719 Capital Partners LP,1719capital.com,investment management,1-10,Privately Held,2019.0,,,
company/1721-test-page,Executives in Sport Group,1721hours.co.uk,design services,1-10,Privately Held,,,,
company/172impact,172IMPACT - samen bouwen aan een groene en gezonde leefomgeving,172impact.nl,real estate,1-10,Self-Employed,2017.0,Amsterdam,North Holland,NL
company/1750ventures,1750 Ventures GmbH,1750.ventures,venture capital and private equity principals,1-10,Public Company,2020.0,Hannover,Niedersachsen,DE
company/18.01-london-ltd,18.01LONDON LTD,1801london.com,retail apparel and fashion,1-10,Self-Owned,2016.0,London,England,GB
company/180-degrees-consulting-nmims,180 Degrees Consulting NMIMS,,business consulting and services,1-10,Nonprofit,2021.0,Mumbai,Maharashtra,IN
company/180-messaging,180 Messaging,,advertising services,1-10,Privately Held,2014.0,Sugar Land,Texas,US
company/180-multifamily-properties,180 Multifamily Properties,180apt.com,real estate,11-50,Privately Held,2009.0,Arlington,Texas,US
company/180-urban-wellness,180 Urban Wellness,180urbanwellness.com,mental health care,1-10,Self-Owned,2020.0,Washington,District Of Columbia,US
company/1800flowers-syosset,1800Flowers Syosset,1800flowerssyosset.com,retail,,,,Syosset,New York,US
company/1803-candles,1803 Candles Inc.,1803candles.com,manufacturing,11-50,,2006.0,Waterman,Illinois,US
company/180degreesusc,180 Degrees Consulting at USC,180dc.org,business consulting and services,11-50,Educational,2017.0,Los Angeles,California,US
company/180health417,180 Health Medical & Wellness,180health417.com,wellness and fitness services,1-10,Privately Held,2019.0,Springfield,Missouri,US
company/180it-consultancy,One Eighty IT Consultancy,180.ae,it services and it consulting,11-50,Privately Held,,Abu Dhabi,Abu Dhabi,AE
company/1821design,1821 Design,1821design.com,software development,1-10,Privately Held,,,,
company/1858-capital-partners,1858 Capital Partners,1858partners.com,financial services,1-10,Privately Held,2022.0,Winter Park,Florida,US
company/1888orchids.com,1888Orchids.com,,retail,,,,,,
company/18hall,18Hall,18hall.com,advertising services,11-50,Privately Held,2017.0,Sheung Wan,Hong Kong,HK
company/18heures48,18heures48,18heures48.fr,musicians,1-10,Privately Held,2014.0,Paris,le-de-France,FR
company/19-mayıs-samsun-osgb,19 Mayıs Samsun Osgb,19mayissamsunosgb.com,medical practices,,,,Cumhuriyet Mahallesi,Atakum/Samsun,TR
company/1901-contracting,1901 Contracting,1901contracting.com,construction,11-50,Privately Held,,Jacksonville,Florida,US
company/1908-draught-house,1908 Draught House,draughthouse1908.com,restaurants,11-50,,,Waukee,Iowa,US
company/1908-nl,1908.nl,1908.nl,broadcast media production and distribution,11-50,Self-Employed,,Rotterdam,South Holland,NL
company/1919-design-co,1919 Design Co.,1919designco.com,design services,1-10,Self-Employed,2014.0,Houston,Texas,US
company/1920-incorporate-llp,1920 Incorporate LLP,1920inc.com,it services and it consulting,1-10,Partnership,2007.0,,,
company/1927-ag,1927,1927.ag,public relations and communications services,11-50,Public Company,2017.0,So Paulo,Sao Paulo,BR
company/193tees,193Tees,193tees.com,retail apparel and fashion,1-10,Public Company,2018.0,Davis,California,US
company/1940624-alberta-ltd,1940624 Alberta Ltd.,,truck transportation,1-10,Privately Held,,,,
company/194th-armored-brigade,194th Armored Brigade,,"technology, information and internet",1-10,,,Fort Benning,Georgia,US
company/1956-class-reunion-committee-lafayette-high-school,1956 CLASS REUNION COMMITTEE LAFAYETTE HIGH SCHOOL,bsglex.com,,1-10,,,Lexington,Kentucky,US
company/1981creations,1981Creations,,advertising services,11-50,Privately Held,2014.0,Madrid,,ES
company/1989creativeco,1989 Creative Co.,1989creative.co,business consulting and services,1-10,Privately Held,2017.0,NGH,Ontario,
company/1989s-entertainment,1989s Entertainment,1989s.vn,entertainment providers,11-50,Self-Owned,,Ho Chi Minh,,VN
company/1990-digital,1990 Digital,1990digital.com,it services and it consulting,,Privately Held,2018.0,Sydney,New South Wales,AU
company/19th-communications-squadron,19th Communications Squadron,,armed forces,51-200,Government Agency,,,,
company/19th-hole-country-club,19th Hole Country Club,,food and beverage services,1-10,,,New Berlin,Wisconsin,US
company/1a-motorbid,1A Motorbid Group GmbH,1a-motorbid.de,motor vehicle manufacturing,1-10,Public Company,2020.0,Dsseldorf,North Rhine-Westphalia,DE
company/1and4elements,MeBA,1and4elements.ir,e-learning providers,1-10,Educational,,Tehran Tehran,,IR
company/1bid.us,1BID.US,1bid.us,retail,11-50,,,Bay City,Michigan,US
company/1brick-llc,1Brick LLC,1-brick.com,insurance,11-50,Privately Held,2012.0,,,
company/1buch-gmbh,1Buch GmbH,1buch.de,book and periodical publishing,,,,Gtersloh,North Rhine-Westphalia,DE
company/1callfix-solutions,1CALLFix Solutions,1callfix.com,computers and electronics manufacturing,11-50,,,Nellore,Andhra Pradesh,IN
company/1cloudafrica,1 Cloud Africa,1cloudafrica.com,software development,1-10,Privately Held,,Sunninghill,Gauteng,ZA
company/1daymoney,One Day Money,,financial services,51-200,Privately Held,,,,
company/1deagroup,1dea,1dea.pl,staffing and recruiting,11-50,Privately Held,2015.0,Warszawa,Woj. Mazowieckie,PL
company/1ecolimited,1eco Limited,1eco.io,it services and it consulting,11-50,Privately Held,2021.0,Kingstown,Parish of Saint George,VC
company/1gateway,1Gateway,1gateway.com,software development,11-50,Partnership,2017.0,Madrid,,ES
company/1gig,OneGig,one-gig.com,it services and it consulting,1-10,Privately Held,,,,
company/1i-limited,1i Limited,,it services and it consulting,1-10,Partnership,,,,
company/1ipimaringa,Primeira Igreja Presbiteriana Independente de Maringá,ipimaringa.org.br,religious institutions,11-50,Privately Held,1949.0,Maring,Paran,BR
company/1komma9-wirecard-pua-podcast,1komma9 - Der Podcast zum WireCard Untersuchungsausschuss,1komma9.de,newspaper publishing,1-10,Self-Employed,,,,
company/1let,1Let,1let.co.uk,real estate,11-50,Privately Held,2002.0,Edinburgh,Scotland,GB
company/1life-media,1life Media,1lifemedia.org,online audio and video media,1-10,Self-Employed,2021.0,Falmouth,Massachusetts,US
company/1m-solutions,1M Solutions,,it services and it consulting,51-200,Privately Held,2012.0,Minsk,Minsk City,BY
company/1molar-producciones,unomolar,unomolar.com,travel arrangements,1-10,Self-Owned,2015.0,Campillo,Andaluca,ES
company/1mrobotics,1MRobotics,1mrobotics.com,software development,11-50,Privately Held,2021.0,Tel Aviv,Tel Aviv,IL
company/1pedreiro,1Pedreiro,1pedreiro.com.br,architecture and planning,1-10,Privately Held,,,,
company/1portal4you-international,1Portal4You International,1portal4you.com,it services and it consulting,11-50,Public Company,2009.0,Amsterdam,North Holland,NL
company/1promise,One Promise Counseling and DUI Education,onepromiseoutpatient.org,mental health care,11-50,,,Baltimore,Maryland,US
company/1purebrasil,1Pure,1purerx.com,pharmaceutical manufacturing,1-10,Privately Held,2016.0,San Diego,California,US
company/1q2w3e4r,Case,google.com,construction,11-50,Privately Held,,Green Island,New York,US
company/1raritycom,1Rarity.com - Upcoming NFT Drops,1rarity.com,information services,1-10,Privately Held,,,,
company/1rebel-uk,1Rebel UK,1rebel.com,wellness and fitness services,201-500,Privately Held,2014.0,London,England,GB
company/1rm-austria,1RM,1rm.at,wellness and fitness services,1-10,Public Company,2022.0,,,
company/1s1-energy,1s1 Energy,1s1energy.com,renewable energy semiconductor manufacturing,1-10,Privately Held,,,,
company/1sc-guarding-ltd,1SC Guarding Ltd,1sc.co.uk,security and investigations,51-200,Privately Held,1997.0,London,England,GB
company/1secureaudit,1SecureAudit,1secureaudit.com,business consulting and services,11-50,Privately Held,2001.0,El Segundo,California,US
company/1sourceinsgroup,1 Source Insurance Group,1sourceinsgroup.com,insurance,1-10,Partnership,,,,
company/1st-call-drain-clearance-and-technical-services-limited,1ST CALL DRAIN CLEARANCE AND TECHNICAL SERVICES LIMITED,1stcalldrains.com,facilities services,1-10,,,Axminster,England,GB
company/1st-care-support-services-ltd,1st Care Support Services Ltd,1stcaresupport.co.uk,hospitals and health care,51-200,Privately Held,2022.0,Ilford,London,GB
company/1st-choice-energy-services,1ST Choice Energy Services,1stchoiceenergyservices.com,oil and gas,201-500,Public Company,1933.0,New Philadelphia,Ohio,US
company/1st-choice-home-centers-inc,1st Choice Home Centers Inc,1stchoicehomecenters.com,real estate,11-50,,,Lewisville,Texas,US
company/1st-choice-liquor,1st Choice Liquor,,restaurants,11-50,,,Richmond,Texas,US
company/1st-choice-llc,"1st Choice, LLC",1stchoicegov.com,business consulting and services,201-500,Privately Held,2000.0,Silver Spring,Maryland,US
company/1st-choice-security-solutions-inc.,"1st Choice Security Solutions, Inc.",1stchoicesecuritysolutions.com,it services and it consulting,1-10,Privately Held,,Peachtree City,Georgia,US
company/1st-choice-umbrella,1ST Choice Umbrella,1stchoiceumbrella.co.uk,financial services,1-10,Privately Held,2018.0,Tamworth,Staffordshire,GB
company/1st-city,1st.City,,entertainment providers,1-10,Partnership,2016.0,New York,New York,US
company/1st-class-motorsllc,1st Class Motors,1stclassmotorsaz.com,motor vehicle manufacturing,1-10,Privately Held,2016.0,Phoenx,Arizona,US
company/1st-handyman-services-limited,1ST HANDYMAN SERVICES LIMITED,,consumer services,1-10,,,Lochgelly,Fife,GB
company/1st-hire-limited,1ST HIRE LIMITED,,machinery manufacturing,,,,Sutton,,GB
company/1st-impression-limited,1ST IMPRESSION LIMITED,1stimpressionltd.co.uk,printing services,1-10,Privately Held,2009.0,Orpington,Kent,US
company/1st-independence-bank,1st Independence Bank,,banking,51-200,Public Company,,,,
company/1st-independent-insurance,1st Independent Insurance,,insurance,1-10,Privately Held,2011.0,,,
company/1st-it,1st IT - Making Technology Simple,1st-it.com,it services and it consulting,11-50,Privately Held,,London,England,GB
company/1st-letting-and-sales,1st Letting & Sales,1stlettingandsales.co.uk,real estate,,Privately Held,2005.0,Coventry,England,GB
company/1st-med,1st MED - First in Care,1stmed.co.uk,wellness and fitness services,201-500,Privately Held,2000.0,Preston,England,GB
company/1st-national-roofing,1st National Roofing,1stnationalroofing.net,construction,11-50,Self-Owned,2009.0,Alpharetta,Georgia,US
company/1st-option-realty-llc,1st Option Realty LLC,1stoptionrealty.net,real estate,1-10,Self-Owned,2017.0,Fernley,Nevada,US
company/1st-place-graduate-recruitment,1PGR,1pgr.com,staffing and recruiting,1-10,Privately Held,2006.0,London,London,GB
company/1st-pmf-bancorp,1st PMF Bancorp,,banking,1-10,Privately Held,,,,
company/1st-scaffolding-uk-ltd,1st Scaffolding UK Ltd,1st-scaffolding.com,construction,,,,Exeter,England,GB
company/1st-security-home-mortgage-corp.,1st Security Home Mortgage Corp.,eloanline.com,,1-10,,,Tulsa,Oklahoma,US
company/1st-stop-technology,1stStop Home Technology,1ststopht.com,it services and it consulting,11-50,Public Company,1985.0,London,London,GB
company/1st-sure-ltd,1st Sure Ltd,1stsureflats.com,insurance,11-50,Partnership,,Potters Bar,Hertfordshire,GB
company/1st-to-10th-class-home-tutor,1st to 10th Class Home Tutor,business.site,,,,,Noida,Uttar Pradesh,IN
company/1staveliquor,1staveliquor,1staveliquor.com,retail,,,,Vancouver,British Columbia,CA
company/1stcupid-adult-products,1stcupid Sex Toys,alibaba.com,international trade and development,51-200,Self-Owned,,Shenzhen Shenzhen,Guangdong,CN
company/1sthomeandcommercialservices,1st Home and Commercial Services,1sthomeandcommercialservices.com,consumer services,1-10,Privately Held,2009.0,Austin,Texas,US
company/1stopreliability,Shewhart Reliability Solutions,,business consulting and services,1-10,Privately Held,2019.0,Brisbane,Queensland,AU
company/1stq-deutschland-gmbh,1stQ Deutschland GmbH,1stq.de,medical equipment manufacturing,11-50,Public Company,1997.0,Mannheim,Baden-Wrttemberg,DE
company/1strive,1Strive,1strive.com,business consulting and services,1-10,Self-Employed,2022.0,Brownsville,Texas,US
company/1task1job,1Task1Job,1task1job.com,"technology, information and internet",1-10,Nonprofit,2014.0,Yaounde,,CM
company/1tec-auto-hub,1Tec Auto Hub,1tec.co.uk,motor vehicle manufacturing,5K-10K,Partnership,2023.0,Tamworth,England,GB
company/1telecom,1Telecom,1telecom.nl,information services,,,,Almelo,Overijssel,NL
company/1touchmarket,1Touch,1touch.market,advertising services,1-10,Privately Held,2018.0,Boston,Massachusetts,US
company/1up-digital,1UP Digital,1updigital.com.au,media production,1-10,Privately Held,2013.0,Adelaide,South Australia,AU
company/1up-mobile-games,1UP Mobile Games,1up.online,computer games,1-10,Privately Held,2016.0,Vancouver,British Columbia,CA
company/1upformula,1UP Formula Podcast,apple.com,professional training and coaching,1-10,Privately Held,,,,
company/1v1-properties,"1v1 Properties, LLC",,consumer services,1-10,Privately Held,2017.0,Daytona Beach,Florida,US
company/1week1project,WEEK Architecture,week.archi,architecture and planning,1-10,Self-Owned,2014.0,Paris,le-de-France,FR
company/2-35-studio,2.35 Studio,2-35studio.com,media production,1-10,Privately Held,2017.0,Lyon,Auvergne-Rhone-Alpes,FR
company/2-ad-space-architects-inc-,2 AD Space Architects Inc.,2adspace.co.za,architecture and planning,1-10,Partnership,2002.0,Somerset West,Western Cape,ZA
company/2-bison-capital-llc,"2 Bison Capital, LLC",,real estate,1-10,Partnership,,,,
company/2-bros-pizza,2 Bros Pizza,2brospizza.com,food and beverage services,1-10,,,Lacona,New York,US
company/2-degrees-consulting,2 Degrees Consulting,2dc-corp.com,staffing and recruiting,1-10,Self-Owned,2016.0,West Palm Beach,Florida,US
company/2-dogs-post,Evolution Post Production,2dogspost.com,media production,1-10,Self-Owned,2005.0,,,
company/2-dudes-moving,2 Dudes Moving,2dudesmovingky.com,packaging and containers manufacturing,11-50,Self-Owned,2010.0,Lexington,Kentucky,US
company/2-el-led-tv-alim-satim,2.el led tv alım satım 0532 466 22 39,,telecommunications,1-10,Self-Owned,2000.0,,,
company/2-fingers,2 Fingers,eat2fingers.com,,,,,London,England,GB
company/2-fly-travel,2FLY TRAVEL.COM,2flytravel.com,airlines and aviation,11-50,Public Company,2003.0,Sofia,Sofia-Capital,BG
company/2-higher-heights-llc,"2 Higher Heights, LLC",2higherheights.com,business consulting and services,1-10,Self-Owned,2007.0,Columbia,South Carolina,US
company/2-i-project-s-r-l-società-di-ingegneria-875347207,2 i Project S.r.l. Società di Ingegneria,2iproject.com,business consulting and services,11-50,Partnership,2011.0,San Donato Milanese,Lombardy,IT
company/2-legs-4-paws-llc,"2 Legs 4 Paws, LLC",2legs4paws.com,professional training and coaching,1-10,Self-Owned,2021.0,Pittsburgh,Pennsylvania,US
company/2-peas-in-a-pod,2 Peas In A Pod,anchor.fm,entertainment providers,1-10,Self-Employed,,,,
company/2-play-the-tips,2 Play the Tips,2playthetips.com,online audio and video media,1-10,Partnership,2010.0,,,
company/2-share-inc,2 Share Inc,,entertainment providers,1-10,,,Sarasota,Florida,US
company/2-squares-solutions,2 Squares Solutions,2sqsol.com,software development,1-10,Privately Held,2008.0,Orlando,Florida,US
company/2-step-entertainment,2-Step Entertainment,2stepentertainment.com,entertainment providers,1-10,Self-Owned,2001.0,New Franklin,Ohio,US
company/2-takt,2-TAKT ¦ Störi-Schmidt,2-takt.ch,oil and gas,1-10,Self-Owned,2020.0,Villmergen,Aargau,CH
company/2-watch-monitoring,2 Watch Monitoring,2wm.com,legal services,1-10,Privately Held,2002.0,Tacoma,Washington,US
company/2.c.v.b,2.C.V.B,,construction,,,,Le Plessis Trevise,,FR
company/20-19-medição-de-projectos,20.19 Medição de Projectos,,architecture and planning,1-10,Self-Employed,,Paredes,,PT
company/20-20-corner-general-store,20-20 Corner General Store,business.site,retail groceries,,,,Mahoba,Uttar Pradesh,IN
company/20-20-creative-group,20|20 Creative Group,2020creativegroup.com,advertising services,1-10,Privately Held,2002.0,San Luis Obispo,California,US
company/20-20-opticians-limited,20:20 OPTICIANS LIMITED,,retail,,,,Aberdeen,Scotland,GB
company/20-20-robotics,20/20 Robotics,2020robotics.com,automation machinery manufacturing,1-10,Privately Held,,,,
company/20-degrees-consulting-ltd,20 Degrees Consulting Ltd,20degrees.co.uk,research services,1-10,Privately Held,2013.0,Cardiff,Cardiff,GB
company/200-ok-ventures,200 OK Ventures,200ok.vc,venture capital and private equity principals,1-10,Privately Held,,,,
company/2000-home-improvements,2000 Home Improvements,,construction,1-10,Self-Employed,2000.0,Webster,New York,US
company/2000s,"2000s Co., Ltd.",instagram.com,retail apparel and fashion,1-10,Self-Owned,2021.0,Pontianak,West Kalimantan,ID
company/2008-empreendimentos-comerciais,2008 Empreendimentos Comerciais,boulevardbrasilia.com.br,leasing non-residential real estate,11-50,,,Rio De Janeiro,Rio De Janeiro,BR
company/2008-republican-national-convention,2008 Republican National Convention,,hospitals and health care,51-200,,,,,
company/2011darts,2011Darts,2011darts.es,entertainment providers,1-10,Self-Owned,2011.0,Sant Feliu De Llobregat,Barcelona,ES
company/2016-hanseatisches-personalkontor,2016 Hanseatisches Personalkontor,,staffing and recruiting,,,,Mnchen,Bavaria,DE
company/202-branding,202 Branding,202branding.com,design services,1-10,Self-Employed,,Madrid,,ES
company/202-procent,202 Procent,202procent.pl,professional training and coaching,1-10,Partnership,2014.0,Kocian Wielkopolska,,PL
company/202-properties-llc,202 Properties LLC,,real estate,1-10,Privately Held,1954.0,Hubbell,Michigan,US
company/2020-management-of-ny-corp,The Xolle Group,xolle.com,construction,51-200,Privately Held,2008.0,,New York,US
company/2020-public-services-trust-at-the-rsa,2020 Public Services Trust at the RSA,2020pst.org,public policy offices,,,,,,
company/2020-training-development-ltd,2020 Training & Development Ltd,2020training.co.uk,professional training and coaching,1-10,Privately Held,2020.0,Stourbridge,England,GB
company/2020wonvision,2020WonVision,2020wonvision.com,e-learning providers,1-10,Nonprofit,2021.0,Delray Beach,Florida,US
company/205-auto-salvage,205 Auto Salvage,205autosalvage.com,motor vehicle manufacturing,1-10,,,Portland,Oregon,US
company/2050-healthcare,2050 Healthcare,2050healthcare.com,hospitals and health care,1K-5K,Privately Held,2019.0,Bengaluru North,Karnataka,IN
company/2056.ru,2056.ru,,computer games,11-50,Privately Held,,,,
company/2071mall,2071Mall,2071mall.com,retail,51-200,Privately Held,2019.0,Abu Dhabi,Abu Dhabi,AE
company/20eleven-services,20Eleven Services,,it services and it consulting,1-10,Public Company,2023.0,Hamilton,Ontario,CA
company/20energy,20energy,20energy.it,"appliances, electrical, and electronics manufacturing",11-50,Privately Held,2020.0,Spoleto,Umbria,IT
company/20h-devinci,20h Devinci,,broadcast media production and distribution,1-10,Nonprofit,2022.0,,,FR
company/20lik,20lik Bülten,apos.to,media production,1-10,Self-Employed,,Istanbul,Istanbul,TR
company/20thshyzone-media,20th Shy Zone Media,20thshyzonemedia.cm,it services and it consulting,1-10,Self-Owned,2018.0,,,
company/20x-io,20X.IO,20x.io,software development,11-50,Privately Held,2020.0,Yeovil,England,GB
company/21-shutters-pte-ltd,21 Shutters Pte Ltd,shutters21.com.sg,retail,,,,,,SG
company/21-whispers,21 Whispers,21whispers.com,professional training and coaching,1-10,Privately Held,,,,
company/211-big-bend,211 Big Bend,flairs.org,government administration,11-50,,,Tallahassee,Florida,US
company/212-interactive,212 Interactive,,"technology, information and internet",1-10,Privately Held,,,,
company/2121-group-llc,"2121 Group, LLC",knoxwings.com,hospitality,11-50,Privately Held,,Knoxville,Tennessee,US
company/212f,212F,212f.com,advertising services,11-50,Privately Held,1997.0,Ellerslie,Auckland,NZ
company/21coders,21Coders,twentyonecoders.com,it services and it consulting,11-50,Public Company,2012.0,,,
company/21group,21 Group,21group.us,real estate,1-10,Privately Held,2023.0,Miami Beach,Florida,US
company/21six-ltd,21six Group,,advertising services,11-50,Privately Held,2013.0,Curdridge,Hampshire,GB
company/21social,21Social,,advertising services,1-10,Self-Employed,,,,
company/21st-century-analytics,21st Century Analytics,21century.co.za,it services and it consulting,11-50,Privately Held,2018.0,Cape Town,Western Cape,ZA
company/21st-century-corporation-uk-ltd,21ST CENTURY CORPORATION (UK) LTD,,telecommunications,1-10,,,Bewdley,England,GB
company/21st-century-couriers,21st Century Couriers,21stcenturycouriers.co.uk,,,,,Nantwich,England,GB
company/21st-century-education_2,"21st Century Education, Inc.",21stcenturyedu.com,e-learning providers,1-10,Public Company,2011.0,Santa Clara,California,US
company/21st-century-employee-assistance-partners,21st Century Employee Assistance Partners,21stcenturyeap.com,hospitals and health care,,,,Monroeville,Pennsylvania,US
company/21st-century-services-llc,"21st Century Services, LLC",10audio.com,online audio and video media,1-10,Privately Held,2001.0,Aurora,Colorado,US
company/21stcentury-learners,21st Century Learners Inc.,21century-learners.com,education administration programs,1-10,Partnership,2019.0,Mississauga,Ontario,CA
company/21volts-datavis,21 Volts DataVis - Data Driven Visual Art Studio,,design services,1-10,Public Company,,,,
company/21whisky,21Whisky,21whisky.com,"technology, information and internet",1-10,Partnership,2021.0,Eindhoven,North Brabant,NL
company/22-4,22by4 Consulting Pvt. Ltd.,22by4.com,"technology, information and internet",11-50,Privately Held,2013.0,Bangalore,Karnataka,IN
company/22-architecture-interiors-consulting,22™ Architecture.Interiors,xxii.al,architecture and planning,1-10,Privately Held,2009.0,Tirana,Tirana,AL
company/22-catering-group,22 Catering Group,22cateringgroup.com,hospitality,51-200,Partnership,2020.0,Miami,Florida,US
company/22-esports,22 Esports,22esports.com,entertainment providers,11-50,Privately Held,2019.0,,,
company/22-harley-street,22 Harley Street,22harleystreet.co.uk,,,,,London,England,GB
company/22-pilates,22 Pilates,22pilates.com,wellness and fitness services,1-10,Self-Owned,,Cypress,Texas,US
company/220-design-conteúdo-e-tecnologia,"220 Design, Conteúdo e Tecnologia",220on.cc,"technology, information and internet",1-10,Privately Held,2013.0,Porto Alegre,Rio Grande do Sul,BR
company/220-madison,220 Madison,220madisontampa.com,real estate,1-10,Partnership,2017.0,Downtown Tampa,Florida,US
company/220-w-rittenhouse-square-condo,220 W Rittenhouse Square Condo,,real estate,1-10,,,Philadelphia,Pennsylvania,US
company/222-estates-limited,222 Estates Limited,222estates.co.uk,real estate,1-10,Privately Held,2016.0,Warrington,Pennsylvania,US
company/2245-inc,2245 Inc,,musicians,1-10,,,Marion,Indiana,US
company/225magazine,225 magazine,225batonrouge.com,book and periodical publishing,11-50,Privately Held,2005.0,Baton Rouge,Louisiana,US
company/2289207-ontario-inc.,2289207 Ontario Inc.,tenantscore.ca,,,,,Ancaster,Ontario,CA
company/22capitalaustralia,22 Capital,,financial services,1-10,Privately Held,,Brisbane,Queensland,AU
company/22nd-century-by-design,22nd Century by Design,22ndcenturybydesign.com,business consulting and services,1-10,Nonprofit,2022.0,,,
company/22untilvalhalla,22 Until Valhalla,22uv.org,armed forces,1-10,Nonprofit,2014.0,Independence,Kentucky,US
company/23-eight,23 Eight,23-eight.com,retail apparel and fashion,1-10,Privately Held,2023.0,Lugano,Ticino,CH
company/23-studio,23 Studio,studio23.kiev.ua,furniture and home furnishings manufacturing,1-10,Privately Held,2014.0,,,
company/23-talent-management,23 Talent Management,23talentmanagement.co.uk,performing arts,1-10,Public Company,2023.0,Rosemount House,West Yorkshire,GB
company/23fund,Snowball23,,financial services,1-10,Privately Held,2018.0,Haifa,Haifa,IL
company/23seven-media-desk,23Seven Media Desk,mediadesk.lk,advertising services,11-50,Privately Held,,Dehiwala,Western Province,LK
company/24-15,24|15,24-15.com,business consulting and services,1-10,Privately Held,2022.0,Bozeman,Montana,US
company/24-7-ai,[24]7.ai,247.ai,software development,10K+,Privately Held,2000.0,San Jose,California,US
company/24-7-mobile-notary-services,24-7 Mobile Notary Services,24-7mobilenotaryservices.com,individual and family services,1-10,Self-Owned,2003.0,Los Angeles,California,US
company/24-7moverz,24/7moverz,247moverz.com,truck transportation,1-10,Privately Held,2004.0,Hong Kong,,HK
company/24-duty,24 Duty,24duty.se,"technology, information and internet",1-10,Privately Held,,Gteborg,,SE
company/24-highland,24 Highland,,staffing and recruiting,1-10,Partnership,2020.0,Kenmore,Washington,US
company/24-hour-commercial-pawn-centurion,24 Hour Commercial Pawn Centurion,facebook.com,financial services,1-10,Partnership,2012.0,Centurion,Gauteng,ZA
company/24-hour-plumbing-in-los-angeles,24 Hour Plumbing In Los Angeles,24hourplumbinginlosangeles.com,individual and family services,1-10,,,Los Angeles,California,US
company/24-informática,24 Informática,24info.com.br,retail,,,,Curitiba,Paran,BR
company/24-karat-homes-llc,24 KARAT HOMES LLC,,construction,1-10,,,Fountain Hills,Arizona,US
company/24-pie,24 Pie,24pie.com,consumer services,201-500,,,Mumbai,Maharashtra,IN
company/24-safe,24SAFE,24safe.cz,banking,11-50,Privately Held,2015.0,,,CZ
company/24-saisons,24 Saisons,24saisons.com,retail,1-10,Self-Employed,2021.0,Lyon,Auvergne-Rhone-Alpes,FR
company/240-union-restaurant,240 Union Restaurant,,restaurants,11-50,,,Lakewood,Colorado,US
